Sample_ID,Sample_Code,Collection_Date,Sample_Type,Replicate_Number,Day_aft_Irrigation,Sample_Description,Experimental_Replicate,Amount,Units,DNA_Clean_up,Dilution_1_in_10,Reason,Include_in_analysis,Notes
PK_RB1S_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside Rain Barrel 1,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB3S_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside Rain Barrel 3,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_RB4S_08-24-16,BG,8/24/2016,Swabs,1,NA,Swabs from inside Rain Barrel 4,No,NA,NA,No,No,Background,Not sure,"Was included to see contribution of the rain barrels  to the community in case we see something ""weird"" in our samples we know where it may have come from. "
PK_CNC_01,NC,NA,Water,1,NA,Clean up kit negative control. Molecular grade water ,No,100,ul,No,No,Negative Control,Not sure,see contribution of clean up kit
PK_CNC_02,NC,NA,Water,1,NA,Clean up kit negative control. Molecular grade water ,No,100,ul,No,No,Negative Control,Not sure,see contribution of clean up kit
PK_FNC_01,NC,6/21/2016,Water,1,NA,Filtration negative control Molecular grade water,No,500,mL,No,No,Negative Control,Not sure,see contribution of filtration manifold
PK_FNC_02,NC,7/5/2016,Water,1,NA,Filtration negative control Molecular grade water,No,500,mL,No,No,Negative Control,Not sure,see contribution of filtration manifold
PK_ENC_01,NC,1/18/2017,Water,1,NA,Extraction negative control. Molecular grade water,No,1,mL,No,No,Negative Control,Not sure,see contribution of extraction reagents
PK_ENC_02,NC,1/19/2017,Water,1,NA,Extraction negative control. Molecular grade water,No,1,mL,No,No,Negative Control,Not sure,see contribution of extraction reagents
PK_MWC_01,NC,NA,Water,1,NA,Control for 96 well plate,No,27,ul,No,No,Negative Control,Not sure,control for sequencing plate
PK_MWC_02,NC,NA,Water,1,NA,Control for 96 well plate,No,27,ul,No,No,Negative Control,Not sure,control for sequencing plate
